Species,Number,Area,Circularity,Aspect Ratio,Roundness,Solidity,EFD 1,EFD 2,EFD 3,EFD 4,EFD 5,EFD 6,EFD 7,EFD 8,EFD 9,EFD 10,EFD 11,EFD 12,EFD 13,EFD 14,EFD 15,EFD 16,EFD 17,EFD 18,EFD 19,EFD 20,EFD 21,EFD 22,EFD 23,EFD 24,EFD 25,EFD 26,EFD 27,Hu 1,Hu 2,Hu 3,Hu 4,Hu 5,Hu 6
9,1,133188,0.257490082,0.861167425,0.774835362,0.086671554,0.355118492,0.187168427,0.157482983,0.077557608,0.048504205,0.07421164,0.027694207,0.04699469,0.030437703,0.039006132,0.017315666,0.014367544,0.031851016,0.034229319,0.015337899,0.013496499,0.017261881,0.016645774,0.004897802,0.013569554,0.01018964,0.022064682,0.007678766,0.014139797,0.015413569,0.015069082,0.014997219,0.325415541,3.210830126,62.27783443,64.06056749,4032.490676,5.827504853
9,2,105773,0.298886189,0.764447101,0.711933312,0.341308721,0.314418131,0.171221112,0.132008669,0.060389285,0.051728877,0.043422574,0.023295549,0.02348129,0.01066679,0.03536179,0.02234039,0.021098743,0.0324279,0.010882936,0.017597261,0.021060932,0.027903151,0.018502205,0.008051855,0.013165552,0.01557404,0.010507646,0.010869471,0.00955884,0.007857249,0.003650113,0.007045035,0.282056999,3.310507012,20.38098431,16.51976099,270.1921075,1.268771173
9,3,83699,0.257662341,0.753111198,0.715789024,0.19109934,0.276075325,0.11753324,0.13313582,0.106781324,0.076231318,0.050247936,0.067286686,0.048065095,0.033742739,0.035803268,0.023950406,0.017482616,0.013112099,0.020634605,0.015187046,0.022684132,0.029023171,0.022633806,0.02014934,0.030602252,0.020602407,0.015387875,0.007407506,0.018425297,0.006619353,0.009302359,0.010113995,0.285205721,3.30530771,34.29733683,37.61004318,1167.651574,2.802599598
9,4,191505,0.263853322,0.791788879,0.78612273,0.170535714,0.365843207,0.18480527,0.097866435,0.062558386,0.091106242,0.070913331,0.042037342,0.013015518,0.033941436,0.025775043,0.042352345,0.022330188,0.019456083,0.029522118,0.0073328,0.011303401,0.021553644,0.010634827,0.014583389,0.016157316,0.013098142,0.01825937,0.012249464,0.006386803,0.012376874,0.008115541,0.008141107,0.313237989,3.241239739,81.18325904,92.3540669,3221.665364,5.962063213
9,5,96503,0.208515259,0.739831501,0.756278286,0.691862279,0.27703683,0.261919498,0.193650584,0.190708887,0.083609485,0.135872904,0.111641974,0.052261601,0.037853062,0.034636206,0.018686838,0.023371752,0.015592246,0.036792384,0.030671635,0.009361096,0.01892753,0.015117836,0.014780239,0.025046305,0.03571731,0.009489041,0.011975858,0.014040261,0.016972735,0.013790615,0.006024904,0.286496842,3.302998804,35.47436521,51.25365681,1974.381438,3.934371452
9,6,87962,0.129946994,0.787478436,0.740476972,1.285977834,0.189180311,0.31162917,0.119777166,0.129250139,0.107738263,0.194394992,0.109905607,0.061334794,0.111414918,0.067163283,0.0789706,0.063077745,0.054378577,0.049806581,0.037944416,0.052869423,0.039023772,0.046317165,0.024689557,0.021113815,0.022217618,0.012227547,0.025944452,0.035637553,0.021995654,0.008529148,0.018520646,0.277157215,3.320243695,54.36564369,64.89601915,2851.832245,4.646760736
9,7,110522,0.235915967,0.865581977,0.721583119,0.457003472,0.205867707,0.141078093,0.136740984,0.152551636,0.046481734,0.10065723,0.042424871,0.044211557,0.034055069,0.04314381,0.03269433,0.047607658,0.019713493,0.01645772,0.015005129,0.016719657,0.006183475,0.032882561,0.013092937,0.013950926,0.012705678,0.017157163,0.012183263,0.011275374,0.012832273,0.015013863,0.008333013,0.290145977,3.293418347,36.04606058,49.12193138,1709.580863,3.748942881
9,8,39397,0.205611786,0.811642907,0.743718498,0.252320287,0.228967206,0.138217153,0.10346902,0.13552245,0.133771771,0.084872422,0.072740479,0.055488624,0.029517269,0.03778885,0.035497642,0.022419629,0.031597643,0.016225929,0.033427352,0.029452135,0.015144255,0.023450676,0.018951288,0.014106412,0.010371327,0.012285772,0.00774504,0.007441299,0.006003082,0.019802753,0.010018636,0.279303687,3.31925532,31.6426773,35.61368388,1147.446833,2.718008579
9,9,168191,0.192659928,0.817163028,0.751020317,0.32913802,0.240088454,0.128587478,0.153303687,0.073757362,0.11508564,0.066449201,0.08027737,0.014545216,0.082583987,0.042884621,0.038138692,0.04871091,0.031243263,0.03508105,0.021262277,0.038239081,0.016654171,0.018601062,0.027655222,0.01922341,0.022482346,0.012995492,0.013232948,0.015941306,0.019079193,0.008086405,0.017530299,0.295151541,3.278572883,49.63427584,80.07862555,3962.971062,6.027183465
9,10,151709,0.27647242,0.843515501,0.739639807,0.160073255,0.34439208,0.175816076,0.168071481,0.031398234,0.08593252,0.045155956,0.031905839,0.038208006,0.036685941,0.037709805,0.009174812,0.018042952,0.011900697,0.038623857,0.014490436,0.025726609,0.025700613,0.027556777,0.012590614,0.014799264,0.009537839,0.014325786,0.016727908,0.009501807,0.015130115,0.0072799,0.010019005,0.291941787,3.285656977,24.25036526,27.89125711,463.4180232,1.923269781
10,1,208949,0.155638997,0.907681682,0.809766854,0.723470179,0.332047782,0.245843845,0.187610531,0.19426594,0.055666718,0.034928356,0.078740305,0.08866289,0.023512702,0.06908915,0.009778111,0.058434463,0.044483528,0.049594096,0.053837741,0.04778551,0.038384946,0.027732047,0.032687589,0.045148015,0.026309392,0.020845271,0.021902999,0.020444425,0.021201818,0.017976079,0.012565682,0.319263923,3.217193858,0.508160217,5.259071282,15.22851963,-1.013389956
10,2,255929,0.38735021,0.885956381,0.895107023,0.229957619,0.193688328,0.100620567,0.077252823,0.046720313,0.043483842,0.043936701,0.07989497,0.035666144,0.049740488,0.040585734,0.037567536,0.01374127,0.037615205,0.006841546,0.012581782,0.018419272,0.012241031,0.005972384,0.003989134,0.011796401,0.008324846,0.007081875,0.00849428,0.004134,0.004241253,0.006842607,0.002969018,0.336857844,3.176236386,2.412791241,1.649438555,-8.173396371,-0.363305956
10,3,151294,0.299212837,0.859801421,0.885495558,0.402474086,0.195004711,0.078460254,0.049837854,0.091948692,0.058495991,0.01982273,0.061694812,0.060929167,0.042957771,0.066476177,0.027398198,0.030802816,0.016834151,0.02199686,0.022418091,0.016687417,0.011400813,0.0168653,0.005122292,0.014194668,0.007019097,0.008583575,0.014185264,0.013831064,0.004925073,0.019120559,0.009062805,0.29361575,3.282768479,2.46798597,1.999805549,6.414448084,-0.267328828
10,4,158447,0.388645137,0.929691406,0.869832783,0.313825506,0.152593305,0.065187678,0.038984229,0.03170681,0.067153319,0.040900402,0.08680654,0.038722738,0.042846598,0.057980165,0.040859035,0.026995644,0.054867254,0.033534671,0.034062532,0.040247587,0.03056777,0.0226711,0.024126026,0.027846613,0.01772653,0.019877514,0.015618055,0.011892024,0.017754261,0.012398297,0.009106624,0.31633145,3.23060089,1.811954925,22.16260458,-68.71697224,1.196240747
10,5,206684,0.184022862,0.790492003,0.889336388,0.65778786,0.246975016,0.195226065,0.062198227,0.121193952,0.093192868,0.008723984,0.084284483,0.055225529,0.054179987,0.05555815,0.0308725,0.030395603,0.038885858,0.018831937,0.029125714,0.018772543,0.030183449,0.017484842,0.019972251,0.022453285,0.016273745,0.013011961,0.023194711,0.011746453,0.01155801,0.013054015,0.020547653,0.323590024,3.214445363,4.811544747,3.49376863,-17.55408912,-0.317729382
10,6,187569,0.036382006,0.679245297,0.761457238,0.558345947,0.533957161,0.303763106,0.236274367,0.294132201,0.136121079,0.138834545,0.100555289,0.114398556,0.04456318,0.102600936,0.107965879,0.04443278,0.037895129,0.056995381,0.072557302,0.064188779,0.065771337,0.045802896,0.078517752,0.031600375,0.03950563,0.065559275,0.037681561,0.038046318,0.027066721,0.042907135,0.040136307,0.301215324,3.264414829,0.818354377,8.721966194,0.723578909,-1.318786851
10,7,116365,0.118439997,0.858816402,0.802484035,0.711991599,0.578782605,0.152587025,0.242692289,0.154472607,0.159714335,0.069364332,0.050034204,0.056772417,0.056262686,0.069519972,0.067243722,0.024087184,0.056424521,0.059282431,0.040193015,0.037120703,0.029185775,0.033834947,0.038440025,0.035137129,0.022355155,0.011793364,0.021247657,0.022601231,0.022350686,0.032121241,0.011701503,0.290430726,3.291176331,6.507586254,6.244722996,-29.66653512,0.122547814
10,8,93439,0.006745149,0.916174091,0.518553872,1.185402379,1.27818449,1.470883277,0.830995691,0.294627298,0.430699316,0.413793318,0.486059558,0.461757395,0.292885152,0.108205451,0.216229315,0.111649807,0.234659041,0.152710396,0.153382006,0.098203344,0.07538438,0.07371994,0.088937074,0.152260025,0.1616402,0.153225354,0.078030685,0.085075119,0.090951414,0.019667147,0.054183138,0.296605697,3.276072106,2.365642014,6.241856202,-12.87309194,-0.59417971
10,9,148042,0.032676449,0.835278205,0.72104639,1.943883915,0.979553477,0.785005684,0.326924744,0.401905568,0.267200695,0.181474088,0.260732422,0.106842517,0.124824839,0.120604827,0.125996851,0.089960351,0.167750533,0.12102647,0.067500733,0.089943091,0.062929718,0.055712835,0.062728688,0.096793446,0.051851985,0.05996875,0.067902575,0.070112447,0.095710147,0.05551852,0.049213472,0.321149782,3.21738634,4.030464439,6.008915002,-29.6509653,0.267670237
10,10,168322,0.024542003,0.805281727,0.680564597,2.031104557,2.075115783,1.322137629,0.919644572,0.419485285,0.229137222,0.521707198,0.232253743,0.260851171,0.141735115,0.317753831,0.125442619,0.22711343,0.109172421,0.070987734,0.223273315,0.039013,0.16471239,0.135305799,0.090527464,0.108831597,0.102655696,0.082916741,0.04119271,0.123901624,0.139161118,0.039788986,0.11277942,0.297776095,3.274508625,3.874678389,0.888001196,1.144162229,-0.055742461
11,2,60515,0.129782946,0.930891267,0.484431974,0.429041062,0.292945787,0.320013085,0.221646852,0.181525733,0.214272489,0.148734772,0.123550192,0.047654164,0.076237981,0.071262774,0.041862916,0.060820096,0.046647401,0.029220051,0.032565034,0.01507826,0.012069305,0.015027444,0.03593769,0.012761089,0.036432961,0.016146731,0.027123584,0.017170481,0.026782771,0.020906158,0.015327075,0.309102982,3.249258958,31.44455964,19.96858157,465.8362449,1.668623753
11,3,69334,0.119520801,0.896049258,0.532435369,0.381108126,0.186692156,0.195972536,0.155871039,0.228175707,0.231837845,0.116550537,0.103909866,0.153449197,0.065149916,0.084200726,0.048294325,0.051128514,0.05750789,0.051461461,0.015896056,0.02084201,0.032476965,0.035706138,0.03126245,0.035699379,0.029111182,0.022232071,0.030166819,0.009156931,0.026658928,0.009638666,0.010432633,0.309544726,3.24714139,55.9999146,76.02108113,4782.817754,6.564197121
11,4,87092,0.099615538,0.868263499,0.45916436,0.607338442,0.368895027,0.215090207,0.181278431,0.196660617,0.159750571,0.112259151,0.123799717,0.075644461,0.149920581,0.042788455,0.107300826,0.0248054,0.043615385,0.033919912,0.049947272,0.020965723,0.033059028,0.030667305,0.031342354,0.03215622,0.035429711,0.025661541,0.028729456,0.021069906,0.022915472,0.013286184,0.013610538,0.294392799,3.281332859,34.10337206,30.90827001,1015.404822,2.555670256
11,7,78435,0.077314107,0.947663454,0.400330738,0.392885634,0.145425826,0.18106811,0.300393824,0.194498269,0.225878641,0.215917291,0.185505308,0.155859128,0.083069711,0.117198755,0.026364759,0.069618543,0.03488151,0.041442305,0.03634258,0.042072933,0.032048488,0.01734707,0.022261566,0.022060642,0.025567601,0.016751874,0.022384971,0.03177369,0.022561061,0.018360401,0.028003867,0.301724949,3.264601606,31.16703511,30.06360947,740.8521418,2.212702475
11,8,68916,0.084252644,0.947829664,0.414243295,0.276375759,0.154161578,0.115154205,0.266523532,0.186497669,0.196614834,0.128310045,0.161698501,0.180286505,0.09104041,0.149651753,0.093522536,0.084055894,0.073402508,0.08180476,0.069115576,0.082836592,0.06348697,0.060206947,0.064133545,0.047951386,0.055080845,0.048432074,0.040531812,0.044868175,0.047389117,0.030787499,0.0303693,0.303861091,3.262230839,40.32978591,36.27548481,1394.296755,3.057676782
11,9,56295,0.091501039,0.967406399,0.407995391,0.332499873,0.139444182,0.089875855,0.334950622,0.09242853,0.277653826,0.057385267,0.22268073,0.16033859,0.21324387,0.104675269,0.188384292,0.131703348,0.104428437,0.130442791,0.086977242,0.077057424,0.077207081,0.076493846,0.049467766,0.026498123,0.036077598,0.021670434,0.022760671,0.012270879,0.017805495,0.020365906,0.019557539,0.292447371,3.286599878,52.89370174,67.94850632,4098.246756,5.550232179
11,10,67983,0.094971641,0.921547971,0.469315974,0.259034636,0.130007431,0.198773253,0.110184734,0.350932777,0.145020675,0.210428007,0.172468992,0.104258444,0.111377956,0.066072981,0.086123319,0.065355763,0.022678279,0.033633416,0.035524279,0.072409981,0.039388361,0.042415982,0.03814281,0.035243855,0.0329338,0.025440667,0.018130939,0.0245179,0.018164925,0.014826734,0.013712427,0.298446584,3.276237701,47.82188902,68.32249087,3895.219733,5.572123902
